Dog ID,Days in Rescue,Adoption Fee,Sex,Color,Size,Altered Prior to Intake (Y/N/U)
A0079,28,$250,M,Grey & white,Medium,N
A0080,9,$250,M,Tan & White,Medium,N
A0082,14,$250,F,Brown & Black,Large,N
A0083,28,$250,F,Brown & White,Medium,N
A0084,14,$195,F,Tan & Grey,Small,N
A0087,44,$250,M,Black & White,Medium,N
A0088,53,$250,M,Brindle,Medium,N
A0089,10,$250,M,Black & White,Medium,N
A0090,80,$250,M,White,Medium,N
A0091,34,$250,F,Black & White,Medium,N
A0092,10,$250,F,Brown & White,Medium,Y
A0096,0,$250,F,Black & White,Small,N
A0097,15,$195,F,Yellow,Medium,N
A0098,93,$250,F,Black,Medium,N
A0100,83,$250,F,Tan/white,Medium,N
A0103,90,$250,F,White with black,Medium,N
A0105,194,$250,F,Tan and white,Medium,N
A0106,91,$250,F,Tan and white,Medium,N
A0107,60,$250,M,Black & Tan,Large,N
A0108,98,$250,M,Black & White,Medium,N
A0112,5,$250,M,Tan & White,Medium,N
A0114,47,$250,M,White with Brown Spots,Medium,N
A0115,6,$250,M,Black,Medium,N
A0116,12,$250,F,Black,Medium,Y
A0119,35,$250,F,Blue & White,Medium,N
A0121,25,$250,M,White & Black,Medium,N
A0122,27,$195,M,Blue Brindle & white,Medium,N
A0123,8,$250,M,Black & Tan,Large,N
A0124,55,$175,M,Apricot,Small,N
A0125,26,$250,M,Black,Medium,N
A0126,13,$250,M,Tan,Medium,N
A0127,72,$250,M,White & Brown,Medium,N
A0128,0,$250,M,Tricolor,Small,N
A0129,26,$250,M,Tricolor,Medium,N
A0131,17,$250,M,Tricolor,Medium,N
A0132,17,$250,F,Black & Brown,Large,N
A0133,36,$250,F,Brown & White,Medium,N
A0135,23,$250,F,White & Black,Small,N
A0137,41,$250,F,Tan,Medium,N
A0140,64,$250,F,Black & White,Medium,N
A0141,68,$250,F,Tricolor,Medium,N
A0142,10,$250,M,Black & White,Small,N
A0143,71,$250,F,Black & White,Medium,N
A0144,51,$250,F,White/Yellow,Medium,N
A0145,27,$250,M,Brown,Medium,N
A0146,250,$250,F,Brindle,Medium,N
A0147,32,$250,F,Brindle,Medium,N
A0148,19,$250,M,Brown & White,Medium,N
A0149,10,$250,M,Black,Medium,N
A0150,59,$250,M,Black & Grey,Small,N
A0151,56,$195,M,White,Small,N
A0152,32,$250,M,Black  ,Medium,N
A0153,7,$250,M,Red,Small,N
A0154,144,$250,M ,Choc w white,Medium,N
A0155,38,$125,F,Fawn & White,Small,Y
A0156,38,$250,F,Tan & White,Medium,N
A0157,35,$250,M,Black,Medium,N
A0159,64,$250,M,White,Medium,N
A0160,20,$125,F,Grey with Black,Small,N
A0161,10,$250,F,Brindle,Medium,N
A0162,47,$250,M,Tricolor,Medium,N
A0164,78,$250,F,White,Medium,N
A0165,17,$250,F,Black,Large,N
A0167,29,$250,F,Black,Medium,N
A0168,16,$250,F,Brown & White,Medium,N
A0170,191,$250,F,Tan,Medium,N
A0171,74,$250,M,Black & White,Medium,N
A0172,48,$250,M,Black w/Tan around eyes,Medium,N
A0173,37,$250,M,Tan & White,Medium,N
A0174,6,$250,M,White,Large,N
A0175,31,$250,F,Black & Tan,Medium,N
A0176,12,$250,F,Black & White,Medium,N
A0177,26,$250,F,Black & white,Large,N
A0178,26,$250,F,Black & white,Large,N
A0179,25,$250,F,Brown,Medium,N
A0180,91,$250,F,white and black,Medium,N
A0182,319,$250,M,Black,Medium,N
A0183,66,$250,M,Tricolor,Small,N
A0185,54,$250,F,Red,Medium,N
A0186,64,$250,F,Black w/Tan around eyes,Medium,N
A0187,9,$250,F,Black & White,Small,N
A0188,28,$250,F,Brown & Tan,Medium,N
A0189,41,$250,F,White,Small,N
A0190,29,$250,F,Blonde(Fawn),Medium,N
A0191,18,$250,M,Fawn & Black,Medium,Y
A0192,36,$250,M,Tricolor,Small,N
A0193,19,$175,M,Cream/Apricot,Small,N
A0194,49,$250,F,Brown,Medium,Y
A0195,62,$250,F,Tricolor,Small,N
A0199,73,$250,F,Brown,Small,N
A0200,31,$250,F,Brown & Tan,Small,N
A0201,11,$250,F,White,Medium,N
A0202,17,$250,F,Black & Brown,Large,N
A0203,4,$250,F,Blue,Medium,N
A0206,324,$250,F,White/Brown,Medium,N
A0207,29,$250,F,White/Brown,Medium,N
A0208,24,$250,F,Black & Tan,Small,N
A0209,14,$250,F,Black,Medium,N
A0211,17,$250,M,Black?Brown & White,Medium,N
A0212,34,$250,F,Black,Medium,N
A0213,28,$250,M,Black & Tan,Small,N
A0214,131,$250,F,Black & Grey,Large,N
A0215,5,$250,F,Tricolor,Small,Y
A0216,24,$175,F,Black & Brown,Small,N
A0217,14,$250,F,Black & Tan,Small,N
A0218,66,$250,F,Brown,Medium,N
A0219,26,$195,M,Brown,Small,Y
A0220,40,$125,M,White,Small,Y
A0222,43,$250,F,White/Brown,Small,N
A0223,9,$250,F,Tan & White,Small,N
A0224,14,$250,F,Yellow,Medium,N
A0225,18,$250,F,Black Brindle & White,Medium,N
A0226,38,$100,M,Brindle & White,Medium,Y
A0227,22,$250,M,Black,Large,N
A0228,16,$250,M,Tan & White,Small,N
A0229,89,$250,M,Tricolor,Medium,N
A0230,14,$250,M,Black,Small,N
A0231,23,$125,M,Brown,Small,Y
A0232,112,$250,M,Black & White,Medium,Y
A0235,22,$250,F,Brindle & White,Medium,Y
A0236,17,$250,F,Tan,Medium,N
A0237,0,$250,F,Tricolor,Small,Y
A0238,13,$250,F,Tricolor,Medium,N
A0239,0,$250,F,White,Small,N
A0240,7,$125,F,White,Small,N
A0241,14,$250,F,White & Tan,Medium,U
A0243,38,$195,M,Blue & White,Medium,N
A0244,25,$250,M,Black,Large,N
A0245,37,$250,M,Black & Tan,Medium,N
A0246,10,$250,M,Black & White,Medium,Y
A0247,20,$250,M,Black&white,Medium,n
A0249,19,$195,M,White & Brown,Small,N
A0250,33,$250,F,Black & Brown,Medium,N
A0251,75,$250,F,Brown,Small,N
A0252,0,$250,F,White,Small,N
A0253,21,$250,F,Black,Medium,N
A0254,23,$250,F,Black & White,Medium,N
A0255,36,$250,M,Black,Small,N
A0256,8,$250,M,Black & Tan,Small,N
A0257,15,$250,M,Grey,Small,Y
A0259,196,$195,M,Red Brindle,Medium,N
A0260,9,$250,M,White,Large,N
A0261,5,$250,M,Red  ,Small,N
A0262,87,$250,F,Tan & Black long hair white on chin,Small,N
A0263,17,$250,F,Merle/Catahoula Tri clolor,Medium,N
A0264,20,$250,M,Tan,Medium,N
A0265,22,$250,M,"Black, white, brown",Medium,N
A0267,27,$250,M,Tricolor,Medium,N
A0269,14,$250,M,Yellow,Large,N
A0271,4,$250,M,Yellow,Large,N
A0272,43,$250,M,Red & White,Medium,N
A0273,65,$250,M,Black,Medium,N
A0274,29,$250,M,Brown,Medium,N
A0276,50,$250,M,Grey & Tan,Small,Y
A0278,32,$250,M,White,Medium,N
A0279,74,$250,F,Brindle,Small,N
A0280,38,$250,F,Red,Medium,N
A0282,50,$250,M,Brindle & White,Medium,N
A0283,410,$100,F,Red & White,Medium,Y
A0284,43,$250,M,Tan,Small,Y
A0285,26,$250,M,Black,,N
A0286,36,$250,M,Black,Medium,N
A0287,45,$195,M,Black & White,Medium,Y
A0288,33,$250,M,Black,Large,Y
A0289,33,$250,M,Yellow,Medium,N
A0290,11,$75,M,Tricolor,Small,Y
A0291,46,$250,M,White,Large,N
A0292,4,$250,M,Yellow,Medium,N
A0294,51,$250,M,Brown,Medium,N
A0295,55,$250,F,Brown w/white ring around neck,Small,N
A0296,11,$125,M,White,Small,N
A0298,17,$250,F,Black & White,Medium,N
A0299,14,$175,F,White & Grey,Small,Y
A0301,35,$250,M,Black,Medium,N
A0302,24,$250,M,Black & Tan,Large,N
A0303,32,$250,M,Brown,Medium,N
A0304,29,$250,M,Tan,Small,Y
A0305,15,$195,M,White,Small,Y
A0306,10,$195,M,Tan & White,Small,N
A0307,10,$250,M,Black & White,Medium,N
A0308,33,$250,F,Black & White,Medium,N
A0309,38,$250,F,light brown,Small,N
A0311,22,$250,M,Black & White,Medium,N
A0312,10,$250,M,Silver & Tan,Small,N
A0313,22,$250,M,Tricolor,Medium,N
A0314,19,$250,M,Blue,Medium,Y
A0315,52,$250,M,Merle,Medium,N
A0316,10,$250,F,Brindle,Medium,N
A0317,93,$250,F,Black & White,Large,N
A0318,64,$250,M,Black & Brown w/drk brwn head,Small,N
A0319,9,$250,M,Black & Brown,Small,N
A0321,28,$250,M,Grey,Medium,N
A0322,29,$250,F,Lab/Cur,Medium,N
A0323,33,$250,M,Black & Tan,Small,N
A0324,20,$195,M,Brindle & White,Large,N
A0325,55,$250,F,Tan w/white face,Small,N
A0326,10,$195,F,Black & White,Small,N
A0327,18,$250,F,Black,Medium,Y
A0328,57,$250,F,Black & White,Medium,N
A0330,47,$250,F,Brown & White,Small,N
A0331,57,$250,F,Tan,Small,N
A0332,10,$250,F,Tan,Medium,N
A0333,17,$195,F,White,Small,Y
A0334,27,$250,F,White & Grey,Small,N
A0338,3,$125,F,Tan & White,Small,N
A0339,13,$250,F,Black & White,Medium,N
A0340,39,$250,F,White & Black,Medium,N
A0341,39,$250,F,White & Black,Medium,N
A0342,28,$250,F,Black & White,Medium,N
A0343,9,$250,F,Golden,Large,Y
A0344,80,$250,F,Black  ,Medium,N
A0347,13,$250,F,Tricolor,Medium,N
A0348,134,$195,F,White & Blue,Medium,N
A0349,22,$250,M,Tan,Small,N
A0350,11,$250,F,Black and white,Medium,N
A0351,20,$250,M,Black,Medium,N
A0352,174,$250,M,Black & White,Medium,N
A0354,0,$250,M,White & Tan,Small,N
A0355,20,$250,M,Black/Silver/grey,Small,N
A0356,15,$250,M,Briwn & Black Brindle,Small,N
A0357,102,$250,M,Brown & WHite,Small,N
A0358,16,$250,M,Brown & WHite,Small,N
A0359,1,$250,M,Cream,Small,Y
A0360,8,$250,M,Red & White,Medium,N
A0362,22,$250,M,White and tan,Small,N
A0363,42,$250,M,Tricolor,Medium,N
A0364,77,$250,M,Brown & Tan,Medium,N
A0365,59,$250,M,Black & White,Medium,Y
A0366,34,$250,M,Black & White,Medium,Y
A0367,157,$250,M,Brown,Small,Y
A0368,121,$250,M,Brown,Small,Y
A0371,35,$250,M,White ,Small,N
A0372,75,$250,M,Black & Tan,Medium,N
A0373,24,$250,F,Tan & White,Small,N
A0374,28,$250,F,Black & White,Medium,N
A0375,16,$250,F,Black & White,Medium,N
A0376,80,$250,F,Brown,Small,N
A0377,48,$250,M,Light Brown,Medium,N
A0378,11,$250,M,Tan & Black,Medium,N
A0379,50,$195,M,Brown & White,Medium,N
A0382,23,$250,F,White & Tan,Medium,N
A0383,25,$250,F,Brown & White,Small,N
A0388,20,$250,F,Black,Medium,N
A0389,38,$125,F,Black & White,Small,N
A0390,174,$100,F,White,Large,N
A0391,253,$100,F,Fawn,Medium,N
A0392,0,$250,F,White,Small,N
A0394,45,$250,F,Brown,Small,N
A0395,7,$250,F,Brown w/black mask,Large,N
A0396,101,$250,F,Black & White,Medium,N
A0397,44,$250,F,Black & White,Medium,N
A0398,40,$250,F,Dark Brown & White,Medium,N
A0400,78,$250,F,White with brown/black markings,Medium,N
A0401,67,$250,M,Brown & Tan,Medium,N
A0402,15,$250,M,White,Small,N
A0404,62,$250,M,White with Black head,Medium,N
A0405,31,$250,F,Brindle (red),Small,Y
A0406,22,$250,M,Black & White,Medium,N
A0409,9,$250,M,Brindle & White,Medium,Y
A0410,83,$250,M,Brown/white,Medium,N
A0411,15,$250,F,Black & White,Medium,N
A0413,0,$250,M,Brindle & White,Medium,N
A0414,10,$250,M,Grey,Small,N
A0416,0,$250,M,Yellow,Large,N
A0417,11,$250,M,Tan & White,Small,Y
A0418,63,$250,F,Brown,Medium,N
A0419,28,$250,F,Black & Tan,Medium,Y
A0420,2,$250,F,Brown,Small,N
A0422,32,$250,M,White,Medium,Y
A0423,29,$195,F,White & tan,Small,N
A0424,34,$250,M,Black and White,Medium,N
A0427,16,$250,M,White & Brown,Small,N
A0428,22,$250,M,Black,Medium,N
A0429,13,$195,M,Black & White,Medium,N
A0430,42,$195,F,Grey & White,Medium,Y
A0431,22,$195,F,Tan,Small,Y
A0432,24,$250,M,Tricolor,Medium,N
A0433,22,$250,F,Black & White,Large,N
A0436,52,$250,M,White,Medium,N
A0437,13,$250,F,"Black, White, Tan",Small,N
A0439,227,$100,M,Brindle & White,Medium,N
A0441,24,$250,F,Yellow,Medium,N
A0442,40,$250,F,Blonde,Medium,N
A0444,21,$250,F,Black & Blue Merle,Medium,N
A0445,84,$250,M,Black & Brown,Medium,N
A0446,25,$195,F,Black & White,Medium,Y
A0448,51,$250,m,Blue,Medium,N
A0449,27,$195,M,Blue & White,Medium,N
A0451,19,$250,M,Black,Medium,N
A0452,9,$250,M,Black,Large,N
A0454,83,$250,M,Tan/Blk,Small,N
A0456,11,$250,M,Tan,Medium,N
A0457,19,$250,M,Black & White,Large,N
A0459,76,$250,M,Cream(Fawn),Small,N
A0461,66,$250,M,White w/ brown,Medium,N
A0462,27,$250,M,Tricolor,Medium,N
A0463,64,$250,M,Black and white,Medium,N
A0464,26,$250,M,Tricolor,Medium,N
A0465,55,$250,F,Black & White,Medium,N
A0466,79,$250,F,Brown and White,Medium,N
A0467,115,$250,F,Yellow,Medium,N
A0468,44,$250,M,Black & Brown w/tan head,Small,N
A0470,78,$250,M,Brown,Medium,N
A0471,69,$250,F,Black & brown,Medium,N
A0473,26,$195,F,Brown & Tan,Medium,N
A0474,42,$250,M,Black,Medium,N
A0475,31,$250,M,Black & Brown,Medium,N
A0476,157,$100,M,White & Black,Medium,N
A0477,9,$195,M,Grey & White,Medium,N
A0478,23,$250,M,Black & Brown,Medium,Y
A0480,41,$250,M,Tan & White,Medium,N
A0481,31,$250,M,White,X Large,N
A0482,35,$250,M,Tricolor,Medium,N
A0483,42,$250,M,Tan & White,Medium,N
A0484,8,$250,M,Brown & White,Large,N
A0486,12,$250,M,Tan,Small,N
A0488,25,$250,M,Brown,Small,Y
A0490,86,$250,M,White with brown spots,Small,N
A0494,52,$250,M,Brown,Medium,N
A0495,22,$250,M,White & Black,Large,N
A0496,14,$250,M,Tricolor,Medium,N
A0497,22,$250,M,Black & Brown,Medium,
A0499,29,$250,F,Brown/tan,Small,N
A0500,28,$250,F,Brindle & White,Medium,N
A0502,31,$250,M,Tan & White,Medium,N
A0503,39,,F,Black & Tan,Medium,N
A0504,11,$195,F,Black & Tan,Small,N
A0507,24,$250,M,Yellow,Large,N
A0508,698,$175,F,Brindle,Medium,N
A0509,45,$250,F,Lab,Medium,N
A0510,19,$250,F,Blue Brindle Pitbull,Medium,N
A0511,42,$250,F,white brown,Medium,N
A0512,196,$195,F,Brindle,Medium,N
A0513,19,$195,F,Black,Medium,N
A0516,18,$250,M,Brown,Medium,N
A0517,25,$250,M,Brown,Medium,Y
A0518,49,$250,M,Tan and black,Medium,N
A0519,0,$250,M,Black & Tan,Medium,N
A0520,3,$250,M,White & Brown,Medium,N
A0522,16,$250,F,Yellow,Medium,N
A0523,72,$250,F,Brown,Medium,N
A0524,25,$250,F,Tricolor,Small,N
A0525,37,$250,F,Black,Medium,N
A0527,69,$195,F,Tan,Medium,N
A0528,19,$250,F,Red & White,Medium,N
A0529,5,$250,M,Black & Tan,Large,N
A0531,29,$250,M,White,Medium,N
A0532,39,$250,M,Red,Medium,N
A0533,5,$250,M,Black,Medium,Y
A0534,41,$195,M,Brown & White,Medium,N
A0535,56,$250,M,White & Brown,Medium,N
A0537,31,$250,M,Tan,Medium,N
A0538,32,$125,F,Black and tan,Medium,Y
A0539,122,$125,F,Black and tan,Medium,Y
A0542,16,$250,M,Tricolor,Large,N
A0543,66,$250,M,Brown w/white,Medium,N
A0544,231,$175,M,White,Large,N
A0545,31,$250,M,Black & Tan,Medium,N
A0546,95,$250,M,Brown with white legs,Small,N
A0547,17,$250,M,Black,Small,N
A0548,14,$195,M,Black,Large,Y
A0549,71,$250,M,Fawn,Medium,N
A0550,26,$250,M,Blue,Medium,N
A0552,32,$250,M,Tan with Black,Medium,N
A0553,38,$250,M,Brown,Small,N
A0555,4,$250,M,Black & Tan,Medium,N
A0558,136,$100,F,Brown & White,Medium,N
A0561,28,$250,M,Tan,Large,Y
A0562,6,$250,M,White,Medium,N
A0563,32,$250,M,Black & Brown,Small,N
A0564,8,$250,M,Silver & Tan,Small,N
A0566,7,$250,M,Tan,Small,N
A0568,69,$250,M,Black and brown,Small,N
A0569,39,$195,M,Tan & White,Small,N
A0571,37,$195,M,Blue/White/Salt & Pepper,Large,N
A0572,7,$250,M,Black,Medium,N
A0573,10,$250,M,Black & White,Large,N
A0574,0,$250,M,Brindle   ,Medium,N
A0575,98,$195,M,Brindle & White,Medium,Y
A0576,66,$195,M,Brindle & White,Medium,Y
A0578,199,$100,M,Tan,Small,N
A0579,0,$250,M,Black & Grey,Medium,Y
A0580,12,$250,M,Black & White,Small,N
A0583,32,$250,M,Black,Medium,N
A0585,25,$250,F,Tricolor,Medium,N
A0586,16,$250,F,white,Small,Y
A0587,43,$250,M,Blue & Brown,Large,N
A0589,8,$250,F,White & Black,Small,N
A0590,51,$250,M,White w/Tricolor Mask,Medium,N
A0591,18,$250,M,Tan & White,Small,N
A0592,23,$250,M,Brown,Medium,N
A0593,12,$250,M,Tricolor,Small,Y
A0595,65,$195,F,Grey & White,Medium,N
A0596,9,$250,F,Tan & White,Medium,N
A0598,34,$100,M,Black,Large,N
A0599,15,$250,M,Tan,Medium,N
A0603,29,$195,M,red,Small,Y
A0608,36,$250,F,Brown & White,Medium,N
A0609,33,$250,F,Black & White,Medium,Y
A0610,42,$250,F,Black & Brown,Medium,Y
A0612,17,$250,F,White,Medium,N
A0613,71,$250,F,Brown & White,Medium,N
A0614,68,$250,M,Tricolor,Medium,N
A0615,20,$250,M,"Grey, white and tan",Small,N
A0616,11,$250,M,Tan w/White,Medium,n
A0617,130,$195,M,White & Tan,Medium,N
A0618,0,$250,M,White,Medium,N
A0619,8,$250,F,Blue & White,Medium,Y
A0620,51,$195,F,Brindle,Medium,N
A0622,8,$195,F,Black & Tan,Small,N
A0624,6,$250,F,White & Black,Medium,Y
A0627,47,$250,F,Black & White,Medium,N
A0628,4,$250,F,Tricolor,Medium,N
A0629,28,$250,M,Black & Tan,Small,N
A0631,33,$250,F,Brindle,Medium,N
A0632,0,$250,F,White with Brown Spots,Medium,N
A0633,34,$250,F,Brown & Black,Medium,?
A0634,27,$195,M,Blue & White,Medium,N
A0635,32,$250,M,Red,Medium,N
A0636,9,$250,F,Silver & Tan,Small,N
A0637,19,$250,F,Brown,Medium,Y
A0638,12,$250,F,Grey  ,Large,N
A0642,0,$250,F,Black & Tan,Small,N
A0643,61,$250,F,Black & White,Medium,N
A0644,29,$250,F,Black & White,Medium,N
A0645,272,$100,F,Brindle,Medium,N
A0647,55,$250,F,Tan with black feet,Medium,N
A0650,16,$250,M,Brown & White,Medium,N
A0651,34,$250,M,Tan & Black,Medium,Y
A0652,29,$250,M,Yellow,Medium,N
A0655,25,$250,M,Brown & White,Small,N
A0656,18,$250,M,Black & Brown,Small,N
A0657,59,$250,F,Tan and Grey,Medium,N
A0658,6,$195,M,Blue & White,Large,N
A0660,17,$250,M,Tri color,Medium,N
A0661,78,$250,M,White with brown/black markings,Medium,N
A0662,26,$250,F,Black and brown,Small,N
A0663,61,$250,F,Brown and White,Small,N
A0665,58,$250,M,Brown and white,Medium,N
A0667,8,$250,M,Black & White,Medium,N
A0668,270,$250,F,brown,Medium,N
A0671,23,$125,M,White,Small,Y
A0672,11,$250,F,Blonde(Lemon),Large,Y
A0673,12,$250,F,White,Small,N
A0674,26,$250,F,Yellow,Medium,N
A0675,22,$250,F,White & Tan,Small,N
A0677,155,$175,F,"Red, grey on face",Medium,Y
A0679,102,$250,F,Black,Medium,N
A0680,15,$195,F,Brown & White,Large,Y
A0681,60,$250,F,Tan,Medium,N
A0683,46,$175,F,Blue & White,Medium,N
A0684,69,$250,F,Brown and white,Medium,N
A0686,78,$250,F,Brindle,Medium,N
A0687,15,$250,M,Brown,Medium,N
A0688,37,$250,M,White & Brindle,Medium,N
A0689,18,$195,M,White & Grey,Small,N
A0690,37,$250,M,Black,Large,Y
A0691,27,$250,M,Brindle,Medium,N
A0692,18,$250,F,Tricolor,Small,N
A0693,52,$250,F,White with tan markings,Medium,N
A0694,26,$250,M,Black,Large,N
A0695,9,$250,M,Black & Tan,Medium,N
A0696,54,$195,M,Black & White,Large,N
A0697,37,$250,M,Brindle & White,Medium,N
A0700,19,$250,M,Black & Tan,Medium,N
A0703,55,$250,M,White with grey spot on butt,Medium,N
A0704,22,$250,M,Yellow,Medium,N
A0705,23,$195,M,Blue & White,Medium,Y
A0706,16,$195,F,White & Brown,Medium,N
A0707,60,$250,F,Black,Medium,N
A0708,114,$250,F,Tan,Small,N
A0710,15,$250,F,Tricolor,Medium,N
A0711,46,$250,F,Brindle. White stripe down nose,Medium,N
A0712,52,$250,M,Black,Medium,N
A0713,38,$250,F,Brindle  ,Medium,N
A0714,52,$250,M,Brown & White,Medium,N
A0715,27,$250,M,Brown & White,Large,N
A0716,22,$250,F,Black  ,Medium,N
A0717,126,$250,F,Black & White,Medium,N
A0718,81,$250,M,White brown spots,Small,N
A0720,47,$250,F,Brindle & White,Medium,N
A0724,66,$250,M,White w/ brown,Medium,N
A0725,90,$250,M,Tan & White,Small,N
A0726,14,$250,M,Tricolor,Small,N
A0727,50,$250,M,Tricolor,Large,N
A0728,63,$250,M,Brown & White,Medium,N
A0729,54,$250,M,Black & Grey,Large,U
A0730,29,$250,M,Black & Grey,Large,U
A0731,22,$175,M,White,Large,Y
A0732,39,$195,M,White,Medium,N
A0733,23,$195,M,White,Small,N
A0738,66,$250,F,Grey,,
A0740,39,$250,M,Gray & White,Small,N
A0741,38,$250,F,Black & Tan,Medium,N
A0743,4,$250,F,Brown,Small,
A0744,11,$250,F,Black,Small,N
A0745,373,$100,F,Blue,Medium,Y
A0746,50,$250,M,White w grey and tan,Small,N
A0747,68,$250,M,White & Brown,Medium,N
A0748,29,$250,M,Black & White,Medium,N
A0749,28,$250,M,Black & White,Medium,N
A0751,16,$125,M,Tan,Medium,Y
A0752,47,$250,M,Tricolor,Large,N
A0753,17,$195,M,White,Small,Y
A0755,14,$175,M,Blonde,Small,Y
A0756,28,$250,F,Brindle,Small,N
A0757,72,$250,F,Tan,Medium,N
A0758,9,$195,F,White,Small,Y
A0760,20,$250,F,Brindle,Medium,N
A0762,7,$250,F,Black and Brown and Gray,Medium,N
A0763,57,$250,F,Black & White,Medium,N
A0764,69,$250,M,Tan,Small,N
A0767,11,$250,F,Tan,Small,N
A0768,28,$125,F,White,Small,Y
A0770,22,$250,F,Brown,Medium,N
A0772,358,$250,M,black and tan,Large,N
A0774,37,$250,M,Black & Tan,Large,N
A0777,24,$250,M,Black & Tan,Medium,N
A0778,37,$250,M,Blonde,Small,N
A0780,30,$250,F,Brindle,Small,N
A0783,25,$175,M,Red,Small,Y
A0784,2,$175,M,Red & White,Small,Y
A0786,0,$250,M,Tan & White,Large,N
A0787,79,$250,F,Black,Large,N
A0788,35,$250,F,White with tan markings,Medium,N
A0790,71,$250,F,Tan & White,Medium,U
A0791,0,$195,F,White,Small,Y
A0793,22,$250,M,Brown & Tan,Medium,N
A0794,24,$250,M,Chocolate,Small,N
A0796,70,$250,F,Brown & White,Medium,N
A0797,0,$250,M,Tan with Black mask,Medium,N
A0798,12,$250,F,Black,Medium,Y
A0799,13,$195,F,Brindle,Medium,N
A0800,0,$250,F,Brown & White,Medium,Y
A0801,16,$250,F,Tan & White,Large,N
A0802,219,$195,F,White,Small,N
A0803,17,$175,F,White & Fawn,Small,N
A0805,11,$195,F,Brindle,Medium,Y
A0806,80,$250,M,Brown & Tan,Medium,Y
A0808,233,$250,F,Black,Medium,N
A0809,12,$250,F,Tan,Medium,Y
A0810,51,$250,F,Tan,Small,N
A0812,54,$195,m,Brindle and white,Large,N
A0813,18,$250,M,Brown,Medium,N
A0815,14,$195,M,Black and white,Medium,Y
A0816,6,$250,M,Blue & White,Large,N
A0817,83,$250,F,Brown & Black,Medium,N
A0818,34,$250,F,Tri-Color,Medium,N
A0820,18,$175,F,Brown & White,Medium,N
A0821,17,$250,F,Tan & Black,Large,N
A0822,38,$250,F,Blue,Medium,N
A0823,11,$200,M,White  ,Small,Y
A0824,39,$250,F,Black,Medium,N
A0827,62,$250,F,Black & White,Small,N
A0828,31,$125,F,Tan,Small,Y
A0829,75,$100,M,Red,Small,N
A0832,28,$125,F,Tan & White,Small,N
A0834,0,$250,M,Black & Tan,Medium,N
A0837,12,$250,F,Yellow,Medium,N
A0838,20,$250,F,Tricolor,Medium,N
A0839,11,$200,F,White,Small,Y
A0840,10,$250,F,Brown & Tan,Medium,N
A0841,17,$250,F,Tan,Small,N
A0842,58,$250,M,Brown & Black,Small,N
A0843,28,$250,M,Chocolate,Medium,N
A0844,12,$250,M ,Tricolor,Small,N
A0845,98,$195,M,white w/brindle,Medium,Y
A0846,25,$250,M,Tri Color,Medium,Y
A0847,59,$250,M,Black & White,Medium,N
A0848,67,$250,F,Black & White,Medium,N
A0849,96,$250,F,Black & Grey,Medium,N
A0851,382,$250,M,Tricolor,Large,N
